1/X,1/S,dX/dt,μ,1/μ,dS/dt,Yx/s,1/Yx/s
30.8641975309,0.5,,,,,,
21.8340611354,1.3883512884,0.00695,0.2145061728,4.6618705036,0.0757920333,0.0916982919,10.9053285372
5.0200803213,5.5251305036,0.0147583333,0.3222343523,3.1033314512,0.0263227833,0.5606676599,1.7835878035
2.5,11.2953508336,0.0167,0.0838353414,11.9281437126,0.0057404125,2.9091985985,0.3437372754
1.6666666667,23.1367404497,0.0183333333,0.0458333333,21.8181818182,0.002823625,6.492835746,0.1540159091
1.1904761905,48.1579581026,0.024875,0.0414583333,24.1206030151,0.0013457042,18.484746214,0.05409866
0.8354218881,91.538208048,0.018025,0.0214583333,46.6019417476,0.0006152083,29.2990179478,0.0341308368
0.785792865,166.666666667,0.013125,0.0109649123,91.2,0.0002051833,63.9671838193,0.0156330159
0.6613756614,166.666666667,0.0340083333,0.0267235057,37.4202401372,0.000125,272.066666667,0.0036755697
0.4787437763,333.333333333,0.0352333333,0.0233024691,42.9139072848,0.000125,281.866666667,0.0035477767
0.4241601629,333.333333333,0.0143833333,0.0068859313,145.22363847,,,
0.4108463435,333.333333333,0.0030166667,0.0012795498,781.524861878,,,
0.4115226337,333.333333333,,,,,,
